"FileName="BV_TWEM_20220531_1514
"FileDate="20220531
"FileTime="15:14
"FileExpiration="20220601 15:14
"FileSequence=458"
"DataDelimiter= ,"

TRADE DATE EXECUTION TIME,PUBLICATION DATE,VENUE OF EXECUTION,INSTRUMENT ID TYPE,ISIN,PRICE,MONE,PERC,YIEL,BAPO,PRICE NOTATION,PRICE CURRENCY,QUANTITY,QUANTITY TYPE,QUANTITY IN MEASUREMENT UNIT,QUANTITY NOTATION MEASUREMENT UNIT,NOTIONAL AMOUNT,NOTIONAL CURRENCY,EMISSION ALLOWANCE TYPE,PUBLICATION ID,ORGINAL ID,TRANSACTION TO BE CLEARED,TRANSCATION COUNT,FLAGS,SUPPLEMENTARY DEFERRAL FLAGS,NO SUBMITTED TRANS (TPCC),SUBMITTED NOTIONAL (TPCC),SUBMITTED NOTIONAL 2 (TPCC),NOTIONAL CURRENCY 2 (TPCC),NO TERMINATED/REDUCED TRANS (TPCC),TERMINATED/REDUCED NOTIONAL (TPCC),TERMINATED/REDUCED NOTIONAL 2 (TPCC),REPLACEMENT NOTIONAL (TPCC),REPLACEMENT NOTIONAL 2 (TPCC),SUB ASSET CLASSES (TPCC),REPLACEMENT SUB ASSET CLASSES (TPCC),REPLACEMENT CURRENCIES (TPCC),NO REPLACEMENT TRANS (TPCC)
2022-05-31T15:14:06.185Z,2022-05-31 15:14:09,TWEM,ISIN,DE0001102317,101.356,,,,,PERC,EUR,771820,Units,0,,771820,EUR,,'3605455857640282440,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.541Z,2022-05-31 15:14:09,TWEM,ISIN,ES0000012G42,78.802,,,,,PERC,EUR,35000,Units,0,,35000,EUR,,'3605455857640282441,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.354Z,2022-05-31 15:14:09,TWEM,ISIN,IT0004923998,121.249,,,,,PERC,EUR,200000,Units,0,,200000,EUR,,'3605455857640282442,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.903Z,2022-05-31 15:14:09,TWEM,ISIN,IT0005090318,99.432,,,,,PERC,EUR,10000,Units,0,,10000,EUR,,'3605455857640282443,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.401Z,2022-05-31 15:14:09,TWEM,ISIN,DE0001141851,96.036,,,,,PERC,EUR,660000,Units,0,,660000,EUR,,'3605455857640282444,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.171Z,2022-05-31 15:14:09,TWEM,ISIN,DE0001141851,96.024,,,,,PERC,EUR,150000,Units,0,,150000,EUR,,'3605455857640282445,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.924Z,2022-05-31 15:14:09,TWEM,ISIN,ES00000121S7,131.925,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282446,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.309Z,2022-05-31 15:14:09,TWEM,ISIN,IT0005383309,89.759,,,,,PERC,EUR,130000,Units,0,,130000,EUR,,'3605455857640282447,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.358Z,2022-05-31 15:14:09,TWEM,ISIN,IT0005323032,98.09,,,,,PERC,EUR,215000,Units,0,,215000,EUR,,'3605455857640282448,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.953Z,2022-05-31 15:14:09,TWEM,ISIN,ES0000012G34,94.48,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282449,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.366Z,2022-05-31 15:14:09,TWEM,ISIN,DE0001102325,102.344,,,,,PERC,EUR,116000,Units,0,,116000,EUR,,'3605455857640282450,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.938Z,2022-05-31 15:14:09,TWEM,ISIN,ES0000012E51,98.138,,,,,PERC,EUR,20000,Units,0,,20000,EUR,,'3605455857640282451,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.356Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005413684,99.705,,,,,PERC,EUR,964000,Units,0,,964000,EUR,,'3605455857640282452,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.364Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005439275,97.79,,,,,PERC,EUR,270000,Units,0,,270000,EUR,,'3605455857640282453,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.343Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005403396,85.94,,,,,PERC,EUR,326000,Units,0,,326000,EUR,,'3605455857640282454,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.967Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005452989,97.04,,,,,PERC,EUR,20000,Units,0,,20000,EUR,,'3605455857640282455,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.235Z,2022-05-31 15:14:10,TWEM,ISIN,FR0012938116,100.46,,,,,PERC,EUR,80000,Units,0,,80000,EUR,,'3605455857640282456,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.378Z,2022-05-31 15:14:10,TWEM,ISIN,FR0000187635,139.298,,,,,PERC,EUR,124000,Units,0,,124000,EUR,,'3605455857640282457,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.799Z,2022-05-31 15:14:10,TWEM,ISIN,FR0013508470,96.607,,,,,PERC,EUR,200000,Units,0,,200000,EUR,,'3605455857640282458,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.774Z,2022-05-31 15:14:10,TWEM,ISIN,FR0013508470,96.607,,,,,PERC,EUR,310000,Units,0,,310000,EUR,,'3605455857640282459,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.810Z,2022-05-31 15:14:10,TWEM,ISIN,FR0013415627,97.952,,,,,PERC,EUR,200000,Units,0,,200000,EUR,,'3605455857640282460,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.790Z,2022-05-31 15:14:10,TWEM,ISIN,FR0014003513,95.085,,,,,PERC,EUR,80000,Units,0,,80000,EUR,,'3605455857640282461,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.679Z,2022-05-31 15:14:10,TWEM,ISIN,IT0004898034,103.774,,,,,PERC,EUR,3995000,Units,0,,3995000,EUR,,'3605455857640282462,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.983Z,2022-05-31 15:14:10,TWEM,ISIN,ES0000012E69,93.377,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282463,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.666Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005327306,99.175,,,,,PERC,EUR,760000,Units,0,,760000,EUR,,'3605455857640282464,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.159Z,2022-05-31 15:14:10,TWEM,ISIN,ES0000012K20,86.495,,,,,PERC,EUR,750000,Units,0,,750000,EUR,,'3605455857640282465,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.833Z,2022-05-31 15:14:10,TWEM,ISIN,IT0005177909,88.665,,,,,PERC,EUR,100000,Units,0,,100000,EUR,,'3605455857640282466,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.175Z,2022-05-31 15:14:10,TWEM,ISIN,DE0001102408,96.959,,,,,PERC,EUR,80000,Units,0,,80000,EUR,,'3605455857640282467,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.221Z,2022-05-31 15:14:10,TWEM,ISIN,FR0010916924,109.943,,,,,PERC,EUR,140000,Units,0,,140000,EUR,,'3605455857640282468,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:08.376Z,2022-05-31 15:14:10,TWEM,ISIN,DE0001141836,97.321,,,,,PERC,EUR,900000,Units,0,,900000,EUR,,'3605455857640282469,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:09.944Z,2022-05-31 15:14:10,TWEM,ISIN,ES0000012K38,96.559,,,,,PERC,EUR,4690000,Units,0,,4690000,EUR,,'3605455857640282470,,N,,,,,,,,,,,,,,,,,
